Product,URL,Num_Vulnerabilities
Ksymoops,/vulnerability-list/vendor_id-72/product_id-3705/GNU-Ksymoops.html,1,3705,72,Application
Less,/vulnerability-list/vendor_id-72/product_id-4294/GNU-Less.html,2,4294,72,Application
Libc,/vulnerability-list/vendor_id-72/product_id-119/GNU-Libc.html,1,119,72,Application
Libcdio,/vulnerability-list/vendor_id-72/product_id-12832/GNU-Libcdio.html,4,12832,72,Application
Libextractor,/vulnerability-list/vendor_id-72/product_id-40839/GNU-Libextractor.html,13,40839,72,Application
Libgfortran,/vulnerability-list/vendor_id-72/product_id-64235/GNU-Libgfortran.html,1,64235,72,Application
Libiberty,/vulnerability-list/vendor_id-72/product_id-23096/GNU-Libiberty.html,10,23096,72,Application
Libidn,/vulnerability-list/vendor_id-72/product_id-34531/GNU-Libidn.html,5,34531,72,Application
Libidn2,/vulnerability-list/vendor_id-72/product_id-65468/GNU-Libidn2.html,4,65468,72,Application
Libmicrohttpd,/vulnerability-list/vendor_id-72/product_id-26645/GNU-Libmicrohttpd.html,3,26645,72,Application
Libredwg,/vulnerability-list/vendor_id-72/product_id-68269/GNU-Libredwg.html,59,68269,72,Application
Libssp,/vulnerability-list/vendor_id-72/product_id-38265/GNU-Libssp.html,1,38265,72,Application
Libtasn1,/vulnerability-list/vendor_id-72/product_id-22173/GNU-Libtasn1.html,10,22173,72,Application
Libtool,/vulnerability-list/vendor_id-72/product_id-3917/GNU-Libtool.html,2,3917,72,Application
Libtool-ltdl,/vulnerability-list/vendor_id-72/product_id-9833/GNU-Libtool-ltdl.html,0,9833,72,Application
LSH,/vulnerability-list/vendor_id-72/product_id-3099/GNU-LSH.html,2,3099,72,Application
M4,/vulnerability-list/vendor_id-72/product_id-13775/GNU-M4.html,2,13775,72,Application
Mailman,/vulnerability-list/vendor_id-72/product_id-913/GNU-Mailman.html,38,913,72,Application
Mailutils,/vulnerability-list/vendor_id-72/product_id-4161/GNU-Mailutils.html,8,4161,72,Application
Make,/vulnerability-list/vendor_id-72/product_id-663/GNU-Make.html,1,663,72,Application
Nano,/vulnerability-list/vendor_id-72/product_id-19122/GNU-Nano.html,2,19122,72,Application
Ncurses,/vulnerability-list/vendor_id-72/product_id-38464/GNU-Ncurses.html,16,38464,72,Application
Osip,/vulnerability-list/vendor_id-72/product_id-37079/GNU-Osip.html,4,37079,72,Application
Parallel,/vulnerability-list/vendor_id-72/product_id-31790/GNU-Parallel.html,2,31790,72,Application
Patch,/vulnerability-list/vendor_id-72/product_id-30942/GNU-Patch.html,12,30942,72,Application
Phpbook,/vulnerability-list/vendor_id-72/product_id-5628/GNU-Phpbook.html,3,5628,72,Application
Privacy Guard,/vulnerability-list/vendor_id-72/product_id-1056/GNU-Privacy-Guard.html,10,1056,72,Application
Pspp,/vulnerability-list/vendor_id-72/product_id-38732/GNU-Pspp.html,8,38732,72,Application
Punbb,/vulnerability-list/vendor_id-72/product_id-82139/GNU-Punbb.html,1,82139,72,Application
Queue,/vulnerability-list/vendor_id-72/product_id-4056/GNU-Queue.html,1,4056,72,Application
Radius,/vulnerability-list/vendor_id-72/product_id-1806/GNU-Radius.html,6,1806,72,Application
Readline,/vulnerability-list/vendor_id-72/product_id-28345/GNU-Readline.html,1,28345,72,Application
Realtime Linux Security Module,/vulnerability-list/vendor_id-72/product_id-4043/GNU-Realtime-Linux-Security-Module.html,1,4043,72,Application
Recutils,/vulnerability-list/vendor_id-72/product_id-52109/GNU-Recutils.html,10,52109,72,Application
Rsync,/vulnerability-list/vendor_id-72/product_id-3492/GNU-Rsync.html,1,3492,72,Application
Rush,/vulnerability-list/vendor_id-72/product_id-27589/GNU-Rush.html,1,27589,72,Application
Sccs,/vulnerability-list/vendor_id-72/product_id-13872/GNU-Sccs.html,1,13872,72,Application
Screen,/vulnerability-list/vendor_id-72/product_id-1860/GNU-Screen.html,8,1860,72,Application
Serveez,/vulnerability-list/vendor_id-72/product_id-75598/GNU-Serveez.html,1,75598,72,Application
Sharutils,/vulnerability-list/vendor_id-72/product_id-1920/GNU-Sharutils.html,5,1920,72,Application
TAR,/vulnerability-list/vendor_id-72/product_id-1394/GNU-TAR.html,13,1394,72,Application
Texinfo,/vulnerability-list/vendor_id-72/product_id-5857/GNU-Texinfo.html,2,5857,72,Application
Tramp,/vulnerability-list/vendor_id-72/product_id-12314/GNU-Tramp.html,1,12314,72,Application
Userv,/vulnerability-list/vendor_id-72/product_id-953/GNU-Userv.html,1,953,72,Application
Wget,/vulnerability-list/vendor_id-72/product_id-332/GNU-Wget.html,17,332,72,Application
Xemacs,/vulnerability-list/vendor_id-72/product_id-4750/GNU-Xemacs.html,2,4750,72,Application
Zebra,/vulnerability-list/vendor_id-72/product_id-3163/GNU-Zebra.html,3,3163,72,Application
Zlib,/vulnerability-list/vendor_id-72/product_id-1820/GNU-Zlib.html,9,1820,72,Application
